job_title,skills,experience,salary
AI Engineer,deep learning,Senior,158322.0
Machine Learning Engineer,"python, sql, ML, cloud",Mid,163666.0
Machine Learning Engineer,"python, ML, cloud",Mid,158556.0
Business Analyst,"sql, deep learning, cloud",Mid,95775.0
Data Scientist,"python, sql, ML",Mid,111873.0
Machine Learning Engineer,"python, ML, deep learning",Senior,165878.0
Data Analyst,"python, ML, cloud",Entry,78392.0
Machine Learning Engineer,cloud,Mid,123840.0
Data Engineer,"python, cloud",Senior,112408.0
AI Engineer,"sql, deep learning",Entry,103157.0
Machine Learning Engineer,"sql, ML, cloud",Mid,142392.0
Data Analyst,"python, sql, cloud",Entry,55663.0
Data Scientist,python,Mid,90698.0
Machine Learning Engineer,"python, sql, deep learning, cloud",Entry,135535.0
Data Analyst,"python, sql, ML",Mid,114339.0
Business Analyst,"ML, deep learning",Senior,133680.0
Machine Learning Engineer,"sql, ML",Entry,122049.0
AI Engineer,"sql, ML, cloud",Entry,116197.0
AI Engineer,cloud,Mid,122869.0
Data Scientist,"python, sql, ML",Mid,109735.0
Data Analyst,"python, deep learning, cloud",Mid,99893.0
Data Scientist,"python, sql, ML, cloud",Senior,121060.0
Data Scientist,"sql, cloud",Entry,63319.0
Machine Learning Engineer,"python, ML",Mid,125784.0
Data Scientist,"sql, deep learning",Mid,92992.0
AI Engineer,"python, sql, ML",Senior,154146.0
Data Engineer,"python, sql, deep learning",Mid,88124.0
AI Engineer,"sql, ML, deep learning",Mid,140635.0
Data Analyst,"python, ML",Senior,111931.0
Machine Learning Engineer,"python, cloud",Mid,129662.0
Business Analyst,"ML, deep learning",Senior,127141.0
AI Engineer,"python, deep learning, cloud",Senior,182849.0
Machine Learning Engineer,"python, sql, ML, cloud",Entry,119087.0
AI Engineer,ML,Entry,103913.0
Business Analyst,"python, cloud",Mid,86748.0
Machine Learning Engineer,"python, cloud",Senior,145728.0
Data Scientist,"python, sql, ML",Senior,136806.0
Data Scientist,"ML, deep learning, cloud",Senior,136365.0
Data Scientist,"python, sql, deep learning, cloud",Senior,145486.0
Data Analyst,python,Entry,71541.0
Data Analyst,"sql, ML, deep learning",Mid,101542.0
Data Scientist,"python, ML, deep learning",Entry,76365.0
Data Scientist,"python, sql, cloud",Senior,109268.0
Data Engineer,"deep learning, cloud",Senior,121214.0
Data Scientist,sql,Mid,94175.0
Data Analyst,deep learning,Senior,139588.0
Data Analyst,"python, sql, ML, deep learning, cloud",Mid,130539.0
Data Scientist,"sql, deep learning, cloud",Entry,93324.0
Data Analyst,"python, sql",Mid,91015.0
Data Scientist,python,Mid,71633.0
Data Scientist,python,Entry,49809.0
Data Scientist,"sql, ML",Entry,63419.0
Machine Learning Engineer,"python, ML, deep learning",Senior,171544.0
Business Analyst,"python, sql, ML, deep learning, cloud",Senior,143017.0
Machine Learning Engineer,python,Senior,155137.0
Machine Learning Engineer,"python, ML",Mid,131254.0
Data Analyst,"sql, ML, cloud",Senior,127570.0
Machine Learning Engineer,"ML, deep learning, cloud",Entry,154945.0
Machine Learning Engineer,"python, deep learning, cloud",Mid,136276.0
Data Engineer,"python, sql, deep learning",Mid,90122.0
Data Analyst,ML,Mid,93905.0
Data Scientist,"python, ML, deep learning",Entry,84361.0
Data Engineer,"python, sql, ML, deep learning, cloud",Mid,110876.0
Data Scientist,"python, sql, ML, cloud",Mid,104352.0
Data Analyst,"python, ML, cloud",Mid,97551.0
Data Engineer,"python, ML, deep learning, cloud",Mid,118915.0
Data Scientist,ML,Mid,108744.0
Data Analyst,"python, deep learning, cloud",Mid,104762.0
AI Engineer,python,Entry,112546.0
AI Engineer,"python, sql, cloud",Mid,125142.0
Data Scientist,"python, sql",Senior,100567.0
Machine Learning Engineer,deep learning,Entry,107863.0
Business Analyst,"ML, deep learning, cloud",Mid,115779.0
Machine Learning Engineer,"sql, ML, cloud",Senior,180984.0
AI Engineer,"sql, deep learning",Entry,104146.0
Data Engineer,"python, sql",Entry,49662.0
Business Analyst,"python, cloud",Mid,81625.0
Machine Learning Engineer,"sql, cloud",Senior,146990.0
Business Analyst,"python, sql, ML",Senior,134944.0
Data Scientist,"sql, deep learning",Entry,88058.0
Data Engineer,"python, sql, deep learning",Entry,86645.0
Machine Learning Engineer,"ML, deep learning, cloud",Entry,131305.0
AI Engineer,sql,Entry,112221.0
Business Analyst,"python, sql, ML, deep learning",Mid,105619.0
Business Analyst,ML,Senior,111308.0
Machine Learning Engineer,"deep learning, cloud",Mid,135804.0
Data Scientist,"python, ML, deep learning, cloud",Mid,114223.0
Data Analyst,"sql, ML, cloud",Entry,76809.0
Business Analyst,"python, ML, deep learning",Mid,107141.0
Business Analyst,"sql, ML, deep learning",Entry,83646.0
Data Scientist,"python, sql",Mid,75490.0
Business Analyst,"sql, ML",Senior,114853.0
Data Scientist,"python, cloud",Senior,105153.0
Data Scientist,python,Entry,46252.0
Data Analyst,deep learning,Entry,67982.0
Data Analyst,"python, ML, cloud",Entry,98044.0
Machine Learning Engineer,sql,Entry,113007.0
Business Analyst,"python, deep learning",Senior,117138.0
Business Analyst,"python, deep learning",Mid,90468.0
Business Analyst,"sql, ML, deep learning",Mid,109996.0
Data Analyst,"python, ML, cloud",Mid,96771.0
Data Engineer,"sql, ML, deep learning, cloud",Mid,110145.0
Data Scientist,"python, sql, ML, cloud",Senior,129130.0
Data Engineer,"python, sql, deep learning, cloud",Mid,124076.0
Data Engineer,"python, ML, deep learning",Mid,108245.0
Data Scientist,"sql, ML, deep learning",Entry,83194.0
Business Analyst,"python, deep learning",Entry,81218.0
AI Engineer,"python, sql, ML, cloud",Entry,115370.0
Machine Learning Engineer,"python, sql, deep learning, cloud",Entry,112745.0
Data Analyst,sql,Senior,104908.0
Data Analyst,cloud,Senior,108741.0
Machine Learning Engineer,"python, ML",Entry,122064.0
Machine Learning Engineer,"python, ML, deep learning",Senior,190084.0
AI Engineer,"python, sql, deep learning, cloud",Entry,136353.0
Business Analyst,ML,Entry,89645.0
AI Engineer,"deep learning, cloud",Senior,163155.0
Data Analyst,"sql, ML",Entry,65626.0
AI Engineer,"python, sql, deep learning, cloud",Entry,115179.0
Business Analyst,"python, sql, deep learning, cloud",Senior,127725.0
Data Engineer,"sql, ML",Mid,90463.0
Business Analyst,"sql, ML",Mid,87043.0
Data Analyst,"python, sql, ML, deep learning, cloud",Entry,93905.0
AI Engineer,"ML, deep learning, cloud",Entry,132014.0
Machine Learning Engineer,"ML, cloud",Entry,119631.0
AI Engineer,"deep learning, cloud",Mid,155021.0
Data Analyst,"python, sql, deep learning",Mid,86266.0
Data Engineer,"python, sql, ML, deep learning",Entry,99644.0
Data Analyst,python,Senior,102005.0
Machine Learning Engineer,"python, ML, deep learning",Mid,145631.0
Machine Learning Engineer,"python, ML",Senior,172958.0
Machine Learning Engineer,"python, cloud",Mid,142365.0
Business Analyst,cloud,Mid,89444.0
Data Scientist,"sql, deep learning, cloud",Senior,149472.0
Data Analyst,ML,Entry,89847.0
Data Engineer,"ML, deep learning",Mid,126262.0
Business Analyst,"python, sql, ML, cloud",Entry,75370.0
Machine Learning Engineer,"ML, cloud",Senior,166294.0
Machine Learning Engineer,"ML, cloud",Senior,185238.0
Machine Learning Engineer,"sql, deep learning",Mid,128072.0
Data Engineer,"python, sql",Mid,75208.0
Business Analyst,"python, sql, deep learning, cloud",Entry,71000.0
Business Analyst,"ML, deep learning",Senior,127875.0
Data Scientist,"python, sql, ML, deep learning, cloud",Mid,139218.0
Machine Learning Engineer,"sql, ML",Mid,133234.0
Data Engineer,ML,Entry,68906.0
AI Engineer,"python, sql, deep learning, cloud",Mid,142311.0
Data Engineer,"deep learning, cloud",Mid,102052.0
Data Scientist,"python, sql, deep learning",Senior,117285.0
AI Engineer,"sql, ML, deep learning, cloud",Mid,153225.0
AI Engineer,"sql, ML",Mid,134776.0
Machine Learning Engineer,"python, ML, cloud",Entry,111100.0
Data Scientist,python,Mid,72349.0
Machine Learning Engineer,"python, deep learning",Mid,127472.0
Business Analyst,"python, sql, ML, cloud",Senior,128533.0
AI Engineer,"python, sql, ML, deep learning, cloud",Mid,153374.0
Machine Learning Engineer,"ML, cloud",Entry,119732.0
Data Scientist,"sql, cloud",Mid,89715.0
Data Engineer,sql,Entry,70962.0
Data Engineer,"python, deep learning, cloud",Senior,128435.0
Data Scientist,"python, sql, ML, deep learning",Senior,132693.0
Business Analyst,"python, sql, ML, deep learning",Senior,133984.0
AI Engineer,"python, cloud",Mid,125772.0
Business Analyst,"python, sql, ML, cloud",Entry,72719.0
Machine Learning Engineer,"python, ML, deep learning",Entry,140175.0
Data Analyst,"sql, ML, deep learning",Mid,101638.0
Business Analyst,"ML, cloud",Mid,96549.0
Business Analyst,"sql, ML",Mid,92993.0
Business Analyst,"sql, cloud",Mid,88656.0
AI Engineer,"python, sql, ML, deep learning, cloud",Entry,129839.0
Business Analyst,"ML, cloud",Entry,98616.0
AI Engineer,"python, ML",Mid,145775.0
Data Scientist,"python, sql",Entry,49940.0
Data Analyst,"sql, ML, cloud",Entry,79866.0
Data Analyst,"sql, ML, deep learning, cloud",Senior,141511.0
Data Scientist,"python, sql, ML",Senior,118569.0
Machine Learning Engineer,"sql, deep learning, cloud",Mid,143714.0
Data Scientist,"python, sql, deep learning, cloud",Entry,92461.0
AI Engineer,"python, sql",Entry,112697.0
Data Engineer,"python, ML, deep learning, cloud",Senior,142003.0
Business Analyst,"sql, ML, cloud",Senior,121724.0
Data Engineer,"sql, ML, deep learning, cloud",Senior,141272.0
Data Analyst,"python, ML, deep learning",Mid,102159.0
AI Engineer,"python, ML",Mid,127634.0
Data Engineer,"python, sql, ML, deep learning",Senior,152909.0
Business Analyst,"sql, deep learning",Entry,64431.0
AI Engineer,"python, sql",Mid,130663.0
Machine Learning Engineer,deep learning,Entry,101136.0
Data Analyst,"python, sql, ML, deep learning",Entry,77125.0
Data Scientist,"deep learning, cloud",Mid,97757.0
Business Analyst,deep learning,Senior,112096.0
Business Analyst,"ML, cloud",Senior,140685.0
AI Engineer,"python, sql",Mid,110905.0
Machine Learning Engineer,"python, sql",Entry,85689.0
Data Engineer,"python, sql, ML, deep learning, cloud",Senior,139260.0
Machine Learning Engineer,"deep learning, cloud",Entry,116588.0
Machine Learning Engineer,deep learning,Entry,106171.0
Data Scientist,"python, sql, deep learning",Mid,86537.0
Machine Learning Engineer,"python, ML, deep learning, cloud",Senior,176727.0
Data Scientist,"python, ML, deep learning",Senior,145781.0
