rank,skill,demand_count,demand_pct,avg_salary_usd,salary_p25_usd,salary_p75_usd,pct_remote,salary_per_demand,market_signal,ai_related_skills,ai_trend,ai_automation_risk,automation_risk_score
1,Python,537,44.16,167225.02,135000.0,200000.0,45.81,311.41,High Demand,"AI, Machine Learning, Cloud, JavaScript, AWS",rising,low,20
2,AI,315,25.9,168979.21,140000.0,200000.0,43.49,536.44,High Demand,"Python, Machine Learning, Cloud, React, JavaScript",rising,low,20
3,Cloud,243,19.98,171844.65,150000.0,200000.0,48.97,707.18,High Demand,"Python, AI, DevOps, Machine Learning, JavaScript",rising,low,20
4,JavaScript,224,18.42,153219.87,125000.0,185000.0,53.12,684.02,High Demand,"Python, React, Node.js, Cloud, AI",rising,low,20
5,Machine Learning,218,17.93,183416.17,155000.0,210000.0,39.91,841.36,High Demand,"Python, AI, Cloud, AWS, Data Engineering",rising,low,20
6,React,215,17.68,152797.67,125000.0,180000.0,49.3,710.69,High Demand,"Node.js, JavaScript, Python, TypeScript, AWS",rising,low,20
7,AWS,206,16.94,165151.82,131250.0,190000.0,52.91,801.71,High Demand,"Python, Docker, Kubernetes, React, PostgreSQL",rising,low,20
8,DevOps,157,12.91,171248.82,147500.0,200000.0,57.96,1090.76,High Demand,"Python, Cloud, AI, Security, AWS",rising,low,20
9,Node.js,149,12.25,152337.68,125000.0,175000.0,46.31,1022.4,High Demand,"React, JavaScript, Python, AWS, AI",rising,low,20
10,Docker,114,9.38,164502.41,140000.0,190000.0,46.49,1443.0,High Demand,"AWS, Python, Kubernetes, PostgreSQL, React",rising,low,20
11,TypeScript,114,9.38,154485.22,126250.0,185000.0,49.12,1355.13,High Demand,"React, Node.js, Python, JavaScript, AWS",rising,low,20
12,APIs,113,9.29,158061.95,130000.0,185000.0,50.44,1398.78,High Demand,"Python, Cloud, JavaScript, AI, React",rising,low,20
13,Kubernetes,111,9.13,168754.73,140000.0,200000.0,50.45,1520.31,High Demand,"AWS, Python, Docker, DevOps, Go",rising,low,20
14,Scalability,108,8.88,182071.53,150000.0,213125.0,43.52,1685.85,High Demand,"Python, Cloud, DevOps, AI, Machine Learning",rising,low,20
15,Software Engineering,105,8.63,161845.24,132500.0,190000.0,36.19,1541.38,High Demand,"Python, Cloud, AI, Machine Learning, DevOps",rising,low,20
16,Backend,104,8.55,170968.75,145000.0,198125.0,52.88,1643.93,High Demand,"Python, Cloud, AI, Backend Development, Scalability",rising,low,20
17,Security,101,8.31,172175.74,150000.0,195000.0,55.45,1704.71,High Demand,"Python, DevOps, Cloud, AI, AWS",rising,low,20
18,PostgreSQL,97,7.98,155680.41,130000.0,170000.0,59.79,1604.95,High Demand,"AWS, Python, Docker, React, Node.js",rising,low,20
19,Automation,92,7.57,160489.13,135000.0,185000.0,48.91,1744.45,High Demand,"Python, AI, Cloud, DevOps, JavaScript",rising,low,20
20,SaaS,89,7.32,142983.15,120000.0,170000.0,71.91,1606.55,High Demand,"Python, JavaScript, React, CRM, AI",rising,low,20
21,API Development,79,6.5,155795.13,135000.0,182500.0,56.96,1972.09,High Demand,"Python, JavaScript, React, Node.js, AWS",rising,low,20
22,Data Analysis,78,6.41,131600.77,100000.0,160000.0,76.92,1687.19,High Demand,"Python, AI, SaaS, Machine Learning, SQL",rising,low,20
23,Data Engineering,78,6.41,176871.79,150000.0,200000.0,47.44,2267.59,High Demand,"Python, Machine Learning, Cloud, AI, AWS",rising,low,20
24,C++,75,6.17,169724.8,135000.0,200000.0,41.33,2263.0,High Demand,"Python, AI, Cloud, JavaScript, Machine Learning",rising,low,20
25,Cloud Infrastructure,72,5.92,180211.46,163750.0,201250.0,47.22,2502.94,High Demand,"Python, DevOps, Scalability, Machine Learning, AI",rising,low,20
26,SQL,71,5.84,148485.92,117500.0,177500.0,57.75,2091.35,High Demand,"Python, PostgreSQL, AWS, Docker, React",rising,low,20
27,Cloud Computing,68,5.59,181822.79,160000.0,213125.0,48.53,2673.86,High Demand,"Python, Machine Learning, AI, JavaScript, DevOps",rising,low,20
28,Communication,65,5.35,107461.54,75000.0,125000.0,92.31,1653.25,High Demand,"CRM, Problem Solving, Project Management, Sales, Data Analysis",rising,medium,50
